event_date,campaign_name,campaign_id,imps,clicks,ctr_pct,revenue,video_start,video_firstquartile,video_midpoint,video_thirdquartile,video_complete
2026-07-14,"OLV WL",24835,9950,114,1.1457286432161,1665.5070798663,10230,9088,8388,7981,7644
2026-07-14,"OLV Serials",24836,18147,292,1.6090813908635,3066.843,18597,17942,17138,15345,14609
2026-07-14,"OLV rewarded",24837,11560,957,8.2785467128028,1502.8,11504,11265,11019,10756,10385
2026-07-14,"OLV Smart TV",24834,21406,0,0,4002.922,21518,22521,22478,22412,22360
